"year","sex","education","vocabulary"
2004,"Female",9,3
2004,"Female",14,6
2004,"Male",14,9
2004,"Female",17,8
2004,"Male",14,1
2004,"Male",14,7
2004,"Female",12,6
2004,"Male",10,6
2004,"Male",11,5
2004,"Female",9,1
2004,"Female",16,4
2004,"Male",11,6
2004,"Female",14,9
2004,"Male",12,0
2004,"Female",16,6
2004,"Female",13,9
2004,"Male",16,10
2004,"Male",12,3
2004,"Female",17,10
2004,"Female",16,8
2004,"Male",19,9
2004,"Male",16,9
2004,"Male",18,4
2004,"Female",13,5
2004,"Female",12,5
2004,"Male",12,0
2004,"Male",16,10
2004,"Female",16,10
2004,"Male",16,9
2004,"Male",16,7
2004,"Male",16,6
2004,"Female",20,10
2004,"Male",20,8
2004,"Female",18,7
2004,"Female",18,8
2004,"Female",18,10
2004,"Female",16,8
2004,"Female",17,7
2004,"Female",15,0
2004,"Female",16,10
2004,"Female",10,1
2004,"Female",18,9
2004,"Female",17,6
2004,"Male",16,7
2004,"Male",16,9
2004,"Male",15,6
2004,"Female",12,8
2004,"Male",15,6
2004,"Male",14,4
2004,"Female",13,7
2004,"Female",12,9
2004,"Female",12,4
2004,"Male",12,6
2004,"Female",16,7
2004,"Female",14,6
2004,"Female",17,7
2004,"Male",10,0
2004,"Female",15,3
2004,"Male",9,4
2004,"Female",14,6
2004,"Female",18,10
2004,"Male",20,9
2004,"Male",16,8
2004,"Male",20,4
2004,"Female",12,9
2004,"Male",12,4
2004,"Male",15,7
2004,"Male",11,3
2004,"Male",14,6
2004,"Female",18,9
2004,"Male",14,2
2004,"Female",12,5
2004,"Female",12,4
2004,"Female",16,9
2004,"Male",15,6
2004,"Male",14,7
2004,"Male",9,2
2004,"Female",12,5
2004,"Male",16,9
2004,"Male",12,7
2004,"Male",19,9
2004,"Male",12,4
2004,"Male",16,5
2004,"Male",11,5
2004,"Female",16,6
2004,"Male",16,7
2004,"Male",16,8
2004,"Male",18,10
2004,"Male",17,9
2004,"Female",13,5
2004,"Male",12,0
2004,"Male",6,3
2004,"Female",13,5
2004,"Male",14,6
2004,"Male",12,6
2004,"Female",12,8
2004,"Male",15,5
2004,"Male",12,8
2004,"Female",15,6
2004,"Male",12,7
2004,"Male",14,7
2004,"Female",15,7
2004,"Male",12,0
2004,"Male",14,8
2004,"Male",11,5
2004,"Male",15,6
2004,"Male",14,6
2004,"Male",6,1
2004,"Female",14,4
2004,"Female",14,7
2004,"Female",16,9
2004,"Male",13,6
2004,"Male",16,8
2004,"Male",12,4
2004,"Male",11,4
2004,"Female",12,6
2004,"Female",13,4
2004,"Male",17,7
2004,"Female",10,5
2004,"Female",14,4
2004,"Female",16,5
2004,"Female",13,5
2004,"Male",14,6
2004,"Male",18,8
2004,"Female",12,6
2004,"Female",18,8
2004,"Male",11,5
2004,"Female",17,8
2004,"Male",14,5
2004,"Female",18,0
2004,"Male",12,4
2004,"Female",20,9
2004,"Male",17,6
2004,"Female",17,7
2004,"Male",14,7
2004,"Male",12,6
2004,"Female",11,4
2004,"Female",14,6
2004,"Male",20,8
2004,"Female",16,4
2004,"Female",16,6
2004,"Male",15,6
2004,"Female",12,4
2004,"Female",12,6
2004,"Female",16,8
2004,"Female",18,10
2004,"Male",16,7
2004,"Female",19,8
2004,"Male",16,8
2004,"Female",16,6
2004,"Female",16,6
2004,"Female",14,6
2004,"Female",12,6
2004,"Male",14,0
2004,"Female",16,6
2004,"Male",16,6
2004,"Male",14,6
2004,"Female",16,6
2004,"Female",14,4
2004,"Male",13,7
2004,"Male",12,5
2004,"Male",12,4
2004,"Male",11,3
2004,"Female",16,8
2004,"Male",12,6
2004,"Male",12,7
2004,"Male",12,4
2004,"Female",15,9
2004,"Female",15,5
2004,"Male",15,5
2004,"Female",16,6
2004,"Male",15,8
2004,"Female",13,4
2004,"Male",12,2
2004,"Female",13,7
2004,"Male",16,7
2004,"Female",16,9
2004,"Male",17,9
