,year,sex,education,vocabulary,year_group
19962635,1996,Male,16,6,"(1995,2016]"
20100332,2010,Female,10,3,"(1995,2016]"
19820441,1982,Female,12,9,"[1974,1995]"
20121839,2012,Female,12,6,"(1995,2016]"
19930585,1993,Female,14,6,"[1974,1995]"
20120869,2012,Female,13,8,"(1995,2016]"
20160996,2016,Female,17,2,"(1995,2016]"
19890770,1989,Female,7,5,"[1974,1995]"
19871042,1987,Female,14,6,"[1974,1995]"
19781212,1978,Male,20,10,"[1974,1995]"
19931031,1993,Female,13,4,"[1974,1995]"
19900871,1990,Male,13,8,"[1974,1995]"
19910588,1991,Female,12,5,"[1974,1995]"
20101479,2010,Female,13,6,"(1995,2016]"
19980234,1998,Male,12,6,"(1995,2016]"
19940657,1994,Female,10,6,"[1974,1995]"
20101084,2010,Female,15,6,"(1995,2016]"
19981330,1998,Female,15,3,"(1995,2016]"
20142541,2014,Male,14,8,"(1995,2016]"
19940057,1994,Male,13,3,"[1974,1995]"
19881297,1988,Female,12,4,"[1974,1995]"
19870798,1987,Male,9,3,"[1974,1995]"
19962797,1996,Male,14,8,"(1995,2016]"
20101673,2010,Female,12,7,"(1995,2016]"
19740899,1974,Female,13,10,"[1974,1995]"
20101314,2010,Female,12,4,"(1995,2016]"
20100095,2010,Female,16,6,"(1995,2016]"
20062227,2006,Female,10,9,"(1995,2016]"
19840471,1984,Male,12,7,"[1974,1995]"
19910506,1991,Female,11,4,"[1974,1995]"
20042512,2004,Female,16,8,"(1995,2016]"
19900019,1990,Female,8,6,"[1974,1995]"
20000865,2000,Female,12,6,"(1995,2016]"
19841059,1984,Female,16,6,"[1974,1995]"
19941292,1994,Female,12,1,"[1974,1995]"
20140210,2014,Female,6,5,"(1995,2016]"
20041654,2004,Female,18,8,"(1995,2016]"
19880813,1988,Male,10,3,"[1974,1995]"
19982124,1998,Male,12,6,"(1995,2016]"
19780618,1978,Female,12,9,"[1974,1995]"
19760532,1976,Female,18,8,"[1974,1995]"
20000173,2000,Male,14,5,"(1995,2016]"
19760087,1976,Male,15,6,"[1974,1995]"
19942180,1994,Female,13,3,"[1974,1995]"
19911193,1991,Female,14,4,"[1974,1995]"
20081157,2008,Male,16,10,"(1995,2016]"
20160332,2016,Male,16,8,"(1995,2016]"
19960523,1996,Female,12,10,"(1995,2016]"
19820292,1982,Female,8,6,"[1974,1995]"
19840464,1984,Male,12,9,"[1974,1995]"
20041042,2004,Male,13,9,"(1995,2016]"
19741251,1974,Male,11,4,"[1974,1995]"
19890886,1989,Male,12,7,"[1974,1995]"
20121697,2012,Female,12,5,"(1995,2016]"
20140369,2014,Female,16,6,"(1995,2016]"
20000790,2000,Male,12,4,"(1995,2016]"
20162463,2016,Female,19,7,"(1995,2016]"
20060573,2006,Female,17,6,"(1995,2016]"
19881215,1988,Female,15,6,"[1974,1995]"
19961863,1996,Male,12,7,"(1995,2016]"
19962710,1996,Female,14,3,"(1995,2016]"
19821222,1982,Male,13,10,"[1974,1995]"
20100639,2010,Female,16,8,"(1995,2016]"
20061963,2006,Female,13,4,"(1995,2016]"
20062058,2006,Female,12,7,"(1995,2016]"
20063489,2006,Female,13,5,"(1995,2016]"
20060824,2006,Male,11,3,"(1995,2016]"
20120240,2012,Male,10,6,"(1995,2016]"
20081515,2008,Female,16,7,"(1995,2016]"
20120001,2012,Male,16,7,"(1995,2016]"
19981316,1998,Male,8,3,"(1995,2016]"
20162625,2016,Male,16,6,"(1995,2016]"
20142538,2014,Female,14,5,"(1995,2016]"
19940099,1994,Female,12,4,"[1974,1995]"
20121029,2012,Male,20,7,"(1995,2016]"
20042256,2004,Female,12,5,"(1995,2016]"
19961767,1996,Female,12,5,"(1995,2016]"
19930692,1993,Male,20,6,"[1974,1995]"
19931557,1993,Female,8,1,"[1974,1995]"
19870522,1987,Male,13,7,"[1974,1995]"
19960592,1996,Female,18,10,"(1995,2016]"
19880404,1988,Female,10,8,"[1974,1995]"
19942969,1994,Female,14,4,"[1974,1995]"
19781014,1978,Female,17,10,"[1974,1995]"
19880290,1988,Male,18,6,"[1974,1995]"
20100729,2010,Male,10,3,"(1995,2016]"
19981562,1998,Male,16,6,"(1995,2016]"
20001282,2000,Female,18,7,"(1995,2016]"
20162086,2016,Female,14,6,"(1995,2016]"
20140074,2014,Male,16,8,"(1995,2016]"
20040345,2004,Female,14,7,"(1995,2016]"
19840851,1984,Male,20,10,"[1974,1995]"
19890143,1989,Male,13,5,"[1974,1995]"
20080251,2008,Male,12,5,"(1995,2016]"
19980304,1998,Female,14,9,"(1995,2016]"
19871354,1987,Female,12,5,"[1974,1995]"
19940175,1994,Female,16,8,"[1974,1995]"
19871059,1987,Female,12,7,"[1974,1995]"
20141500,2014,Male,11,3,"(1995,2016]"
19840415,1984,Female,12,2,"[1974,1995]"
19942127,1994,Male,14,5,"[1974,1995]"
20080636,2008,Female,12,5,"(1995,2016]"
20142238,2014,Female,12,7,"(1995,2016]"
19880941,1988,Male,14,6,"[1974,1995]"
19740876,1974,Male,9,6,"[1974,1995]"
19940443,1994,Male,13,7,"[1974,1995]"
19840725,1984,Female,4,5,"[1974,1995]"
20161154,2016,Female,13,6,"(1995,2016]"
19880054,1988,Male,12,9,"[1974,1995]"
19900544,1990,Male,14,5,"[1974,1995]"
19961545,1996,Male,18,7,"(1995,2016]"
20161954,2016,Male,12,5,"(1995,2016]"
19740748,1974,Female,12,4,"[1974,1995]"
19931196,1993,Female,12,7,"[1974,1995]"
19941797,1994,Female,13,7,"[1974,1995]"
19840202,1984,Female,14,9,"[1974,1995]"
19820577,1982,Female,10,6,"[1974,1995]"
19820723,1982,Female,8,4,"[1974,1995]"
19761185,1976,Female,12,4,"[1974,1995]"
19880351,1988,Male,20,10,"[1974,1995]"
20141944,2014,Male,12,7,"(1995,2016]"
19840370,1984,Male,12,4,"[1974,1995]"
19781151,1978,Female,10,7,"[1974,1995]"
19760272,1976,Male,12,7,"[1974,1995]"
19740510,1974,Male,13,7,"[1974,1995]"
19910159,1991,Male,12,7,"[1974,1995]"
19840607,1984,Female,20,5,"[1974,1995]"
19942895,1994,Female,15,6,"[1974,1995]"
19961881,1996,Female,12,6,"(1995,2016]"
19941867,1994,Female,9,6,"[1974,1995]"
20161823,2016,Female,14,6,"(1995,2016]"
19900729,1990,Male,4,2,"[1974,1995]"
19960714,1996,Male,13,8,"(1995,2016]"
19840855,1984,Female,12,4,"[1974,1995]"
20081543,2008,Female,14,7,"(1995,2016]"
19870036,1987,Female,12,6,"[1974,1995]"
19780896,1978,Female,12,8,"[1974,1995]"
20042696,2004,Female,12,6,"(1995,2016]"
20161882,2016,Female,11,5,"(1995,2016]"
