price	openbid	auction_type
260	0.01	7 day auction
256.86	0.01	3 day auction
260	0.01	5 day auction
238.02	0.01	7 day auction
231.5	1	7 day auction
251.11	9.99	7 day auction
247.5	215	7 day auction
237.5	155	7 day auction
232.5	50	7 day auction
242.5	140	5 day auction
250	225	5 day auction
240	39	7 day auction
237.5	39	7 day auction
259.02	200	5 day auction
280	259	5 day auction
280	1	7 day auction
260	179.99	7 day auction
253	15	7 day auction
240	10	7 day auction
234.01	9.99	7 day auction
252.51	2	7 day auction
270	255	5 day auction
233.02	100	7 day auction
222.5	1	3 day auction
213.5	1	3 day auction
217.5	1	5 day auction
207.5	1	7 day auction
208.01	1	7 day auction
213.5	1	3 day auction
210	1	5 day auction
255	125	7 day auction
199.99	199.99	7 day auction
270	1	3 day auction
260	1	3 day auction
207.6	1	5 day auction
210.01	1	7 day auction
212.5	200	5 day auction
202.5	190	7 day auction
255.25	5	7 day auction
255	200	3 day auction
212.5	9	7 day auction
235	230	5 day auction
260	255	5 day auction
227.5	1	7 day auction
227.5	1	7 day auction
235	100	5 day auction
229.04	215	5 day auction
215	215	7 day auction
226	215	3 day auction
213.05	1	3 day auction
232.5	1	5 day auction
232.5	1	7 day auction
255	150	7 day auction
255	10	7 day auction
231.02	179.99	5 day auction
245	245	7 day auction
215.03	20	7 day auction
222.5	1	7 day auction
270	200	3 day auction
242.5	215	3 day auction
262	215	7 day auction
255.01	215	5 day auction
232.5	150	7 day auction
274	259	3 day auction
255	215	7 day auction
232.5	1	3 day auction
207.5	1	5 day auction
207.5	1	7 day auction
220	9.99	7 day auction
212.5	25	5 day auction
226.03	0.01	3 day auction
197.5	9.99	7 day auction
210.21	1	7 day auction
251	215	5 day auction
249.99	249.99	5 day auction
247.8	0.01	3 day auction
248.5	9.99	3 day auction
270	9.99	3 day auction
260.04	9.99	3 day auction
245	99.99	5 day auction
193	100	5 day auction
212.5	1	3 day auction
200	1	5 day auction
255	0.01	7 day auction
222.5	1	7 day auction
232.5	50	3 day auction
212.5	1	3 day auction
232.5	0.01	3 day auction
227.5	0.01	7 day auction
255	0.01	7 day auction
192	100	7 day auction
240	10	5 day auction
237.5	10	5 day auction
225	10	5 day auction
235.5	0.01	7 day auction
232.5	225	7 day auction
206	10	7 day auction
238	0.01	7 day auction
183.5	100	5 day auction
227.5	100	7 day auction
255	149.99	7 day auction
238	175	7 day auction
238	150	7 day auction
238.5	0.01	7 day auction
290	220	3 day auction
220.01	199	3 day auction
225	9.99	3 day auction
243.5	0.01	7 day auction
265	265	7 day auction
232.5	50	7 day auction
232.5	0.01	7 day auction
225	9.99	5 day auction
242.5	0.01	7 day auction
241.5	0.01	7 day auction
217.52	9.99	7 day auction
266	200.99	3 day auction
227.5	0.01	7 day auction
234.5	0.01	7 day auction
244	0.01	3 day auction
237.5	50	7 day auction
222.5	0.01	7 day auction
214.5	0.11	7 day auction
247.5	0.01	7 day auction
212.5	150	5 day auction
250	0.01	5 day auction
255	255	3 day auction
245	0.01	7 day auction
225	219.99	7 day auction
224.72	99	3 day auction
222.5	0.01	7 day auction
212	99.99	5 day auction
283.5	0.01	7 day auction
177.5	0.01	3 day auction
222.5	0.01	3 day auction
228.01	0.01	7 day auction
207.5	200	7 day auction
230.5	0.01	7 day auction
200	180	7 day auction
240	1	7 day auction
232.5	0.01	7 day auction
230	0.01	7 day auction
195.1	0.07	5 day auction
232.5	0.01	7 day auction
245	1	7 day auction
245	0.01	7 day auction
207.5	100	7 day auction
237.5	0.01	7 day auction
186.51	25	7 day auction
211.5	45.99	5 day auction
232.5	9.99	5 day auction
240.5	0.01	7 day auction
232.5	0.01	7 day auction
255	1	3 day auction
265	0.01	7 day auction
220	25	7 day auction
250.01	240	7 day auction
255	0.01	7 day auction
217.5	0.01	3 day auction
250	0.01	7 day auction
247.5	0.01	7 day auction
244.72	9.99	5 day auction
232.5	100	7 day auction
239.99	239.99	7 day auction
240	0.01	7 day auction
242.51	0.01	7 day auction
260	199.95	3 day auction
242.5	0.01	7 day auction
202.5	1	5 day auction
247.5	9.99	7 day auction
235	0.01	7 day auction
230	0.01	7 day auction
217.5	150	7 day auction
228.49	175	7 day auction
232.5	0.01	7 day auction
227.5	1	3 day auction
225	1	7 day auction
208	1	7 day auction
245	50	7 day auction
232.5	0.01	7 day auction
270	1	3 day auction
244.5	0.01	7 day auction
240	240	7 day auction
200	100	7 day auction
217.5	1	7 day auction
240.01	0.01	7 day auction
217.5	215	7 day auction
232.5	0.01	7 day auction
212.5	200	7 day auction
227.5	0.01	7 day auction
212.5	19.99	7 day auction
227.5	0.01	7 day auction
250	0.01	7 day auction
220	215	3 day auction
265	1	3 day auction
202.5	25	3 day auction
265	19.99	5 day auction
232.5	150	5 day auction
202.5	1	3 day auction
237.5	1	5 day auction
245	240	3 day auction
199	199	7 day auction
