ride_id,date,duration_min,station_A_id,station_A_name,station_B_id
52797,4/15/2017,1316,67,San Francisco C…,89
54540,4/19/2017,8.13,21,Montgomery St B…,64
87695,4/14/2017,24.8,16,Steuart St at M…,355
45619,4/3/2017,6.35,58,Market St at 10…,368
70832,4/10/2017,9.8,16,Steuart St at M…,81
96135,4/18/2017,17.5,6,The Embarcadero…,66
29928,4/22/2017,16.5,5,Powell St BART …,350
83331,4/11/2017,14.7,16,Steuart St at M…,91
72424,4/5/2017,4.12,5,Powell St BART …,62
25910,4/20/2017,25.8,81,Berry St at 4th…,81
89090,4/14/2017,17.7,30,San Francisco C…,109
24436,4/22/2017,15.9,16,Steuart St at M…,10
69172,4/25/2017,12.7,16,Steuart St at M…,80
62265,4/26/2017,9.68,67,San Francisco C…,90
61046,4/27/2017,6.13,21,Montgomery St B…,27
30172,4/5/2017,7.02,16,Steuart St at M…,50
75470,4/19/2017,8.57,5,Powell St BART …,323
16564,4/27/2017,2.28,21,Montgomery St B…,3
63197,4/25/2017,4.07,67,San Francisco C…,321
32350,4/28/2017,4.95,5,Powell St BART …,64
61811,4/25/2017,12.2,21,Montgomery St B…,74
91516,4/9/2017,153,15,San Francisco F…,370
67221,4/29/2017,5.25,3,Powell St BART …,370
92155,4/3/2017,12.4,58,Market St at 10…,16
68200,4/8/2017,13.3,67,San Francisco C…,114
26805,4/26/2017,10.1,58,Market St at 10…,90
69774,4/7/2017,7.58,58,Market St at 10…,86
48751,4/10/2017,250,15,San Francisco F…,10
27114,4/9/2017,11,5,Powell St BART …,365
19447,4/30/2017,4.3,58,Market St at 10…,97
33483,4/19/2017,5.45,67,San Francisco C…,62
76400,4/4/2017,6.92,67,San Francisco C…,114
35793,4/14/2017,8.37,81,Berry St at 4th…,345
29293,4/17/2017,9.35,5,Powell St BART …,85
42294,4/11/2017,7.08,30,San Francisco C…,28
81517,4/7/2017,3.35,67,San Francisco C…,321
33080,4/21/2017,15.8,3,Powell St BART …,91
47594,4/12/2017,30.7,15,San Francisco F…,400
11104,4/15/2017,9.52,58,Market St at 10…,47
31793,4/10/2017,7.57,5,Powell St BART …,81
74803,4/13/2017,6.28,5,Powell St BART …,58
34255,4/7/2017,13.2,5,Powell St BART …,112
92925,4/9/2017,16,81,Berry St at 4th…,96
99188,4/9/2017,10.5,58,Market St at 10…,285
60356,4/10/2017,7.52,3,Powell St BART …,323
30073,4/23/2017,11.6,3,Powell St BART …,356
81100,4/27/2017,8.02,81,Berry St at 4th…,37
94626,4/28/2017,4.77,16,Steuart St at M…,25
98154,4/21/2017,14.3,5,Powell St BART …,89
24791,4/7/2017,11,58,Market St at 10…,144
37915,4/21/2017,7.27,30,San Francisco C…,78
77164,4/27/2017,16.1,3,Powell St BART …,384
81940,4/6/2017,10.6,30,San Francisco C…,126
48844,4/25/2017,11,30,San Francisco C…,126
48529,4/2/2017,4.9,5,Powell St BART …,62
85449,4/29/2017,17.1,16,Steuart St at M…,93
58150,4/5/2017,6.62,67,San Francisco C…,114
57871,4/8/2017,18.6,67,San Francisco C…,368
86240,4/12/2017,9.75,15,San Francisco F…,92
52629,4/13/2017,5.8,15,San Francisco F…,22
71714,4/18/2017,5.92,5,Powell St BART …,77
81705,4/1/2017,19.4,15,San Francisco F…,121
79817,4/25/2017,12,15,San Francisco F…,3
46749,4/27/2017,12,58,Market St at 10…,50
72592,4/25/2017,18,30,San Francisco C…,10
34069,4/6/2017,4.15,58,Market St at 10…,5
49165,4/21/2017,20.4,67,San Francisco C…,285
59541,4/15/2017,10.6,3,Powell St BART …,27
63837,4/9/2017,11,16,Steuart St at M…,44
34623,4/15/2017,5.82,15,San Francisco F…,22
60019,4/26/2017,10.6,81,Berry St at 4th…,5
51124,4/28/2017,13.6,3,Powell St BART …,72
49252,4/16/2017,6.62,5,Powell St BART …,61
54413,4/20/2017,5.58,16,Steuart St at M…,10
