Milk	Grocery	Frozen
11103	12469	902
2013	6550	909
1897	5234	417
1304	3643	3045
3199	6986	1455
4560	9965	934
879	2060	264
6243	6360	824
13316	20399	1809
5302	9785	364
3688	13829	492
7460	24773	617
12939	8852	799
12867	21570	1840
2374	2842	1149
1020	3007	416
20655	13567	1465
1492	2405	12569
2335	8280	3046
3737	19172	1274
925	2405	4447
1795	7647	1483
14982	11924	662
1375	2201	2679
3088	6114	978
2713	3558	2121
25071	17645	1128
3696	2280	514
1897	5167	2714
713	3315	3703
944	11593	915
3587	2464	2369
1610	1431	3498
899	1664	414
2209	3389	7849
1486	4583	5127
1786	5109	3570
14881	26839	1234
3216	1447	2208
928	2743	11559
6817	10790	1365
1511	1330	650
1347	2611	8170
333	7021	15601
1188	5332	9584
