state	county	dem_percent_12	dem_percent_16
Alabama	Bullock	76.3059	74.946921
Alabama	Chilton	19.453671	15.847352
Alabama	Clay	26.673672	18.674517
Alabama	Cullman	14.661752	10.028252
Alabama	Escambia	36.915731	31.020546
Alabama	Fayette	22.866851	16.511092
Alabama	Franklin	29.201584	18.247508
Alabama	Hale	62.605577	59.390547
Alabama	Lamar	22.969579	14.872237
Alabama	Lauderdale	33.883111	25.179001
Alabama	Monroe	45.890923	42.177003
Alabama	Pike	42.78018	38.396112
Alabama	Shelby	21.675116	22.692437
Alabama	Walker	22.990077	15.25855
Arizona	Graham	30.442851	16.256279
Arkansas	Baxter	26.743885	21.091774
Arkansas	Benton	28.560253	28.923614
Arkansas	Bradley	39.676889	36.05256
Arkansas	Craighead	33.208202	29.623591
Arkansas	Dallas	43.352789	42.042584
Arkansas	Desha	55.271493	52.337327
Arkansas	Faulkner	32.853353	30.780399
Arkansas	Howard	32.967279	28.904579
Arkansas	Logan	27.404174	21.651307
Arkansas	Marion	28.889519	20.17729
Arkansas	Newton	27.123737	18.6251
California	Alameda	78.853405	78.690013
California	Calaveras	39.796199	34.3361
California	Humboldt	59.956499	56.037538
California	Mariposa	38.866667	35.169539
California	Merced	53.184975	52.715817
California	Modoc	27.872554	23.152059
California	Mono	52.750434	52.558757
California	Napa	62.965173	63.871146
California	Placer	39.001413	40.204223
California	Riverside	49.714386	49.73376
California	Santa Barbara	57.634705	60.605478
California	Santa Clara	70.101743	72.712442
California	Stanislaus	50.025423	47.428927
California	Tulare	41.297725	42.360283
Colorado	Alamosa	56.753537	45.957631
Colorado	Arapahoe	53.904159	52.759317
Colorado	Cheyenne	15.736505	11.978221
Colorado	Elbert	25.412611	19.61447
Colorado	Las Animas	50.204022	39.010746
Colorado	Moffat	21.562905	13.394636
Colorado	Morgan	36.299527	26.346154
Colorado	Park	41.234252	32.840549
Colorado	Phillips	25.960265	18.696398
Colorado	Rio Blanco	16.859602	12.637681
Connecticut	Hartford	62.369723	59.08682
Connecticut	New Haven	60.652695	54.249537
Florida	Broward	67.199526	66.508725
