y	pred	label
9.1496941	6.430583	small purchases
1.9025206	3.473332	small purchases
-3.859826	1.594509	small purchases
2.3889703	3.764175	small purchases
1.5415715	9.509294	small purchases
13.5618785	6.931725	small purchases
10.1987859	8.191798	small purchases
1.1044627	1.514578	small purchases
3.9354788	8.986364	small purchases
9.0407978	6.149792	small purchases
1.7276491	8.498107	small purchases
15.723841	10.941225	small purchases
2.2578444	6.003761	small purchases
-1.9750566	1.071922	small purchases
1.1006461	4.420715	small purchases
18.6282945	10.518787	small purchases
3.6786547	5.746765	small purchases
3.0863171	7.0929	small purchases
8.691391	7.837105	small purchases
7.9086741	4.307022	small purchases
5.4401589	6.001545	small purchases
14.7850358	8.309529	small purchases
9.0220444	8.625899	small purchases
3.9766558	2.978443	small purchases
2.6675677	4.040108	small purchases
7.6815442	7.46093	small purchases
11.9348659	9.082721	small purchases
5.3087341	6.523833	small purchases
13.0587206	10.342933	small purchases
2.2285365	4.240767	small purchases
15.4031317	8.833006	small purchases
-0.8775657	1.165411	small purchases
7.6111939	4.743669	small purchases
9.8625104	8.426791	small purchases
4.3625009	10.191528	small purchases
3.8418327	4.325049	small purchases
11.3425371	6.389882	small purchases
17.1292595	10.997543	small purchases
16.1650339	7.524615	small purchases
-5.8934988	2.448673	small purchases
12.6387974	9.514229	small purchases
6.4500322	5.211945	small purchases
2.9682093	3.973336	small purchases
4.0760785	6.321008	small purchases
5.5235922	10.166002	small purchases
4.8320823	3.847532	small purchases
6.7230129	6.304504	small purchases
1.8421342	3.647446	small purchases
3.1992212	2.518993	small purchases
10.8161739	8.02391	small purchases
1026.400027	1027.192723	large purchases
202.3892007	194.521504	large purchases
833.3530129	826.245477	large purchases
1075.412119	1081.438809	large purchases
96.1198136	100.388039	large purchases
438.2357889	430.291572	large purchases
911.3332595	912.567621	large purchases
542.5643273	533.946165	large purchases
686.3323692	691.793193	large purchases
494.4655725	498.008558	large purchases
422.8093644	423.20279	large purchases
1033.881622	1032.662338	large purchases
161.9940611	168.545765	large purchases
491.4299932	492.239389	large purchases
575.919926	589.705853	large purchases
384.770213	377.148966	large purchases
720.0291839	730.110724	large purchases
963.9350562	967.65052	large purchases
159.7865024	159.20701	large purchases
765.4002297	767.185617	large purchases
246.4217424	250.132558	large purchases
1097.921986	1098.895762	large purchases
1050.401268	1048.867067	large purchases
1069.622457	1057.992036	large purchases
116.8100415	119.282157	large purchases
523.5162673	524.564769	large purchases
457.7430632	459.76956	large purchases
1060.563865	1053.648585	large purchases
761.9174356	751.113173	large purchases
969.3237051	966.37957	large purchases
522.6803675	520.614066	large purchases
475.8733078	467.724627	large purchases
368.5448093	364.211669	large purchases
1101.61864	1097.071859	large purchases
1052.922681	1054.626093	large purchases
663.0351321	664.365996	large purchases
136.6886558	137.485828	large purchases
331.8120748	326.087523	large purchases
921.9615947	929.965382	large purchases
773.5812495	772.131253	large purchases
458.3325781	456.426629	large purchases
643.4683247	646.674567	large purchases
738.6477366	747.002823	large purchases
846.4213303	842.529168	large purchases
413.6645906	411.887935	large purchases
180.994209	175.770888	large purchases
695.622899	687.864916	large purchases
164.8980048	165.81199	large purchases
106.5062642	108.48475	large purchases
358.3557044	363.866527	large purchases
