Species,Year,Capture
Pink,1950,100600
Pink,1951,259000
Pink,1952,132600
Pink,1953,235900
Pink,1954,123400
Pink,1955,244400
Pink,1956,203400
Pink,1957,270119
Pink,1958,200798
Pink,1959,200085
Pink,1960,111880
Pink,1961,178133
Pink,1962,163558
Pink,1963,222477
Pink,1964,143623
Pink,1965,161131
Pink,1966,174844
Pink,1967,168960
Pink,1968,155729
Pink,1969,195169
Pink,1970,133466
Pink,1971,178823
Pink,1972,93852
Pink,1973,151180
Pink,1974,94026
Pink,1975,171012
Pink,1976,146895
Pink,1977,224475
Pink,1978,174314
Pink,1979,249558
Pink,1980,226191
Pink,1981,264855
Pink,1982,170373
Pink,1983,255129
Pink,1984,210511
Pink,1985,300987
Pink,1986,211685
Pink,1987,218121
Pink,1988,165236
Pink,1989,363456
Pink,1990,235190
Pink,1991,438998
Pink,1992,216110
Pink,1993,302568
Pink,1994,326065
Pink,1995,394735
Pink,1996,294915
Pink,1997,318717
Pink,1998,371552
Pink,1999,386928
Pink,2000,285338
Pink,2001,360973
Pink,2002,268544
Pink,2003,377749
Pink,2004,266554
Pink,2005,456350
Pink,2006,316205
Pink,2007,506343
Pink,2008,294876
Pink,2009,591654
Pink,2010,370044
Chum,1950,139300
Chum,1951,155900
Chum,1952,113800
Chum,1953,99800
Chum,1954,148700
Chum,1955,143700
Chum,1956,158480
Chum,1957,125377
Chum,1958,132407
Chum,1959,113114
Chum,1960,120760
Chum,1961,109053
Chum,1962,110707
Chum,1963,106491
Chum,1964,94498
Chum,1965,76503
Chum,1966,93949
Chum,1967,88027
Chum,1968,95624
Chum,1969,67888
Chum,1970,113650
Chum,1971,105879
Chum,1972,137655
Chum,1973,125364
Chum,1974,121052
Chum,1975,127561
Chum,1976,125110
Chum,1977,118677
Chum,1978,129513
Chum,1979,150176
Chum,1980,166803
Chum,1981,186550
Chum,1982,182561
Chum,1983,196414
Chum,1984,210507
Chum,1985,267794
Chum,1986,239065
Chum,1987,217129
Chum,1988,286572
Chum,1989,243728
Chum,1990,299438
Chum,1991,266940
Chum,1992,238427
Chum,1993,286996
Chum,1994,328765
Chum,1995,424595
Chum,1996,411395
Chum,1997,347560
Chum,1998,311965
Chum,1999,281260
Chum,2000,276355
Chum,2001,307662
Chum,2002,314098
Chum,2003,360429
Chum,2004,351188
Chum,2005,318389
Chum,2006,361561
Chum,2007,331266
Chum,2008,295819
Chum,2009,359908
Chum,2010,143959
Sockeye,1950,64100
Sockeye,1951,51200
Sockeye,1952,58200
Sockeye,1953,66100
Sockeye,1954,83800
Sockeye,1955,72000
Sockeye,1956,84800
Sockeye,1957,69676
Sockeye,1958,100520
Sockeye,1959,62472
Sockeye,1960,83171
Sockeye,1961,93311
Sockeye,1962,66126
Sockeye,1963,53140
Sockeye,1964,56189
Sockeye,1965,94286
Sockeye,1966,81080
Sockeye,1967,75582
Sockeye,1968,113332
Sockeye,1969,65106
Sockeye,1970,106436
Sockeye,1971,79160
Sockeye,1972,43932
Sockeye,1973,55637
Sockeye,1974,53027
Sockeye,1975,38615
Sockeye,1976,60357
Sockeye,1977,64651
Sockeye,1978,75737
Sockeye,1979,109439
Sockeye,1980,111830
Sockeye,1981,132651
Sockeye,1982,128176
Sockeye,1983,163790
Sockeye,1984,126834
Sockeye,1985,150860
Sockeye,1986,136452
Sockeye,1987,131135
Sockeye,1988,107361
Sockeye,1989,169410
Sockeye,1990,198168
Sockeye,1991,161218
Sockeye,1992,199709
Sockeye,1993,242613
Sockeye,1994,183686
Sockeye,1995,189612
Sockeye,1996,188584
Sockeye,1997,132075
Sockeye,1998,78972
Sockeye,1999,130128
Sockeye,2000,124782
Sockeye,2001,108618
Sockeye,2002,103325
Sockeye,2003,109822
Sockeye,2004,142385
Sockeye,2005,147151
Sockeye,2006,151523
Sockeye,2007,164609
Sockeye,2008,138896
Sockeye,2009,150040
Sockeye,2010,170972
Coho,1950,30500
Coho,1951,40900
Coho,1952,33600
Coho,1953,32400
Coho,1954,38300
Coho,1955,45100
Coho,1956,40000
Coho,1957,39900
Coho,1958,39200
Coho,1959,32865
Coho,1960,26898
Coho,1961,37524
Coho,1962,39883
Coho,1963,41547
Coho,1964,38948
Coho,1965,44207
Coho,1966,46874
Coho,1967,43396
Coho,1968,46463
Coho,1969,30973
Coho,1970,44050
Coho,1971,43110
Coho,1972,33880
Coho,1973,38550
Coho,1974,42631
Coho,1975,31782
Coho,1976,36965
Coho,1977,30777
Coho,1978,30712
Coho,1979,34279
Coho,1980,30557
