country	continent	year	lifeExp	pop	gdpPercap
Afghanistan	Asia	1952	28.8	8425333	779
Afghanistan	Asia	1957	30.3	9240934	821
Afghanistan	Asia	1962	32	10267083	853
Afghanistan	Asia	1967	34	11537966	836
Afghanistan	Asia	1972	36.1	13079460	740
Afghanistan	Asia	1977	38.4	14880372	786
Afghanistan	Asia	1982	39.9	12881816	978
Afghanistan	Asia	1987	40.8	13867957	852
Afghanistan	Asia	1992	41.7	16317921	649
Afghanistan	Asia	1997	41.8	22227415	635
Afghanistan	Asia	2002	42.1	25268405	727
Afghanistan	Asia	2007	43.8	31889923	975
Albania	Europe	1952	55.2	1282697	1601
Albania	Europe	1957	59.3	1476505	1942
Albania	Europe	1962	64.8	1728137	2313
Albania	Europe	1967	66.2	1984060	2760
Albania	Europe	1972	67.7	2263554	3313
Albania	Europe	1977	68.9	2509048	3533
Albania	Europe	1982	70.4	2780097	3631
Albania	Europe	1987	72	3075321	3739
Albania	Europe	1992	71.6	3326498	2497
Albania	Europe	1997	73	3428038	3193
Albania	Europe	2002	75.7	3508512	4604
Albania	Europe	2007	76.4	3600523	5937
Algeria	Africa	1952	43.1	9279525	2449
Algeria	Africa	1957	45.7	10270856	3014
Algeria	Africa	1962	48.3	11000948	2551
Algeria	Africa	1967	51.4	12760499	3247
Algeria	Africa	1972	54.5	14760787	4183
Algeria	Africa	1977	58	17152804	4910
Algeria	Africa	1982	61.4	20033753	5745
Algeria	Africa	1987	65.8	23254956	5681
Algeria	Africa	1992	67.7	26298373	5023
Algeria	Africa	1997	69.2	29072015	4797
Algeria	Africa	2002	71	31287142	5288
Algeria	Africa	2007	72.3	33333216	6223
Angola	Africa	1952	30	4232095	3521
Angola	Africa	1957	32	4561361	3828
Angola	Africa	1962	34	4826015	4269
Angola	Africa	1967	36	5247469	5523
Angola	Africa	1972	37.9	5894858	5473
Angola	Africa	1977	39.5	6162675	3009
Angola	Africa	1982	39.9	7016384	2757
Angola	Africa	1987	39.9	7874230	2430
Angola	Africa	1992	40.6	8735988	2628
Angola	Africa	1997	41	9875024	2277
Angola	Africa	2002	41	10866106	2773
Angola	Africa	2007	42.7	12420476	4797
Argentina	Americas	1952	62.5	17876956	5911
Argentina	Americas	1957	64.4	19610538	6857
Argentina	Americas	1962	65.1	21283783	7133
Argentina	Americas	1967	65.6	22934225	8053
Argentina	Americas	1972	67.1	24779799	9443
Argentina	Americas	1977	68.5	26983828	10079
Argentina	Americas	1982	69.9	29341374	8998
Argentina	Americas	1987	70.8	31620918	9140
Argentina	Americas	1992	71.9	33958947	9308
Argentina	Americas	1997	73.3	36203463	10967
Argentina	Americas	2002	74.3	38331121	8798
Argentina	Americas	2007	75.3	40301927	12779
Australia	Oceania	1952	69.1	8691212	10040
Australia	Oceania	1957	70.3	9712569	10950
Australia	Oceania	1962	70.9	10794968	12217
Australia	Oceania	1967	71.1	11872264	14526
Australia	Oceania	1972	71.9	13177000	16789
Australia	Oceania	1977	73.5	14074100	18334
Australia	Oceania	1982	74.7	15184200	19477
Australia	Oceania	1987	76.3	16257249	21889
Australia	Oceania	1992	77.6	17481977	23425
Australia	Oceania	1997	78.8	18565243	26998
Australia	Oceania	2002	80.4	19546792	30688
Australia	Oceania	2007	81.2	20434176	34435
Austria	Europe	1952	66.8	6927772	6137
Austria	Europe	1957	67.5	6965860	8843
