freight_cost_group	line_item_insurance_usd
reasonable	207.24
expensive	895.78
expensive	112.18
expensive	353.75
reasonable	2.67
reasonable	2.8
expensive	235.2
expensive	163.15
expensive	152.12
reasonable	0.06
expensive	528.22
reasonable	207.24
expensive	314.22
expensive	5.07
reasonable	2.8
expensive	198
expensive	460.8
expensive	90.56
reasonable	0.94
expensive	54.96
expensive	505.03
reasonable	24.44
expensive	357.33
reasonable	190
reasonable	51.95
expensive	264
expensive	838.22
reasonable	81.36
expensive	564.01
expensive	342.39
reasonable	10.93
reasonable	8.96
reasonable	4.35
reasonable	37.32
expensive	101.42
expensive	76.04
reasonable	41.37
reasonable	372.56
expensive	837.61
expensive	0
expensive	114.44
expensive	184.8
reasonable	1.21
reasonable	21.56
reasonable	137.08
reasonable	3.43
expensive	237.6
expensive	259.64
expensive	388.08
reasonable	129.38
reasonable	27.88
expensive	64.81
expensive	257.82
reasonable	666.59
expensive	205.68
reasonable	128
reasonable	64.29
reasonable	0.49
reasonable	0
reasonable	9.35
reasonable	10.77
reasonable	1.35
reasonable	19.64
reasonable	32.1
expensive	98.86
expensive	301.84
expensive	415.63
expensive	134.05
expensive	318.95
reasonable	12.96
expensive	110.8
expensive	470.4
expensive	41.55
expensive	38.45
reasonable	9.89
expensive	8.73
reasonable	123.7
reasonable	1.49
expensive	30.2
expensive	357.5
expensive	474.37
reasonable	3.81
expensive	12.35
reasonable	95.12
expensive	4.95
expensive	291.24
expensive	1011.78
expensive	320
reasonable	83.47
reasonable	12.44
expensive	330
expensive	300.16
reasonable	1.64
expensive	144.84
expensive	44.2
expensive	100.65
expensive	587.96
expensive	1504.66
expensive	956.42
expensive	535.99
expensive	391.31
reasonable	373.47
expensive	21.35
expensive	519.26
expensive	1.92
reasonable	6.4
expensive	1675.43
expensive	84.43
expensive	198
expensive	432
reasonable	13.33
reasonable	0
expensive	789.5
expensive	1271.28
reasonable	12.14
expensive	99
reasonable	0.99
reasonable	10.07
expensive	321.9
expensive	38.42
reasonable	5.34
reasonable	5.88
expensive	409.42
expensive	296.88
expensive	1025.19
reasonable	288.11
expensive	0.31
expensive	83.39
expensive	102
reasonable	23.76
expensive	259.97
expensive	328.96
reasonable	65.75
expensive	497.14
expensive	1469.58
reasonable	57.61
reasonable	0.18
reasonable	123.43
reasonable	3.8
expensive	283.32
expensive	378.84
expensive	137.98
expensive	35.47
reasonable	2.74
reasonable	20.64
expensive	39.96
reasonable	0.63
expensive	103.22
expensive	358.61
reasonable	16.31
reasonable	11.52
expensive	710.32
expensive	2700.49
reasonable	0.9
expensive	381.78
reasonable	59.91
reasonable	767.63
expensive	705.27
reasonable	2.59
reasonable	1.78
expensive	449.68
reasonable	51.95
expensive	1118.82
expensive	84.43
expensive	444.26
expensive	24.65
reasonable	0.03
expensive	232.85
expensive	363.64
reasonable	8.82
expensive	390.64
expensive	208.95
reasonable	0.01
expensive	718.86
reasonable	1.32
reasonable	1.58
expensive	62.72
expensive	61.77
reasonable	129.44
expensive	307.77
expensive	320
expensive	304.49
reasonable	19.79
expensive	147.21
reasonable	20.33
reasonable	24.56
expensive	241.75
expensive	156.6
expensive	495.29
reasonable	107.83
reasonable	15.68
expensive	130.33
reasonable	3.36
expensive	543.7
reasonable	47.89
expensive	1040.42
reasonable	4.24
expensive	7.58
expensive	705.19
reasonable	152.36
expensive	290.58
reasonable	12.83
reasonable	163.45
reasonable	1.78
expensive	261.69
reasonable	6.15
reasonable	5.54
expensive	411.2
expensive	388.58
reasonable	2.46
reasonable	0.49
expensive	143.55
reasonable	5.36
expensive	3.65
expensive	9.18
expensive	564.48
expensive	519.92
expensive	76.8
expensive	337.32
reasonable	54.02
reasonable	15.68
reasonable	64.57
reasonable	0.56
reasonable	42.02
reasonable	7.58
reasonable	24.67
expensive	98.55
expensive	2532.72
expensive	293.48
reasonable	6.97
reasonable	86.39
reasonable	32.66
expensive	5.25
reasonable	3.72
reasonable	1.98
reasonable	139.83
expensive	47.27
expensive	502.93
expensive	83.81
expensive	588
expensive	206.89
reasonable	22.1
expensive	235.2
reasonable	10.05
reasonable	0.01
expensive	20.59
expensive	689.56
expensive	15.84
reasonable	28.6
reasonable	0.56
expensive	342.39
reasonable	34.36
expensive	87.39
expensive	51.13
expensive	236.26
reasonable	185.15
reasonable	70.62
