symbol	return_2018	return_2019
MSFT	0.207952787	0.575581
AAPL	-0.05390179	0.889578011
AMZN	0.284316834	0.23027757
FB	-0.257112146	0.565718257
GOOG	-0.010311581	0.291045895
JNJ	-0.051314756	0.162200323
V	0.164875743	0.433270215
JPM	-0.066237912	0.472570396
INTC	0.042265056	0.30711977
MA	0.253128986	0.591580121
T	-0.222520219	0.455452619
PFE	0.248189057	-0.06907914
MRK	0.399538636	0.222714375
XOM	-0.150933038	0.072328668
DIS	0.036078177	0.335135026
BAC	-0.149965676	0.461902076
PEP	-0.048128696	0.273759252
WMT	-0.079506633	0.307389103
KO	0.067734812	0.205994378
CVX	-0.097474268	0.152736657
ADBE	0.291029437	0.457788148
CMCSA	-0.127108101	0.340425708
ABT	0.290618445	0.220801866
BMY	-0.128957039	0.27738107
AMGN	0.15233079	0.276010805
MCD	0.001087852	0.146846793
COST	0.105992939	0.457006975
LLY	0.404516176	0.161399518
MDT	0.096461808	0.281351993
ABBV	-0.023957873	0.02964463
ACN	-0.062286903	0.51213607
PM	-0.332961086	0.350213007
ORCL	-0.029695717	0.19343279
UNP	0.052621275	0.336998614
NKE	0.198681795	0.380940614
WFC	-0.27750769	0.22736874
AMT	0.133232668	0.481873144
AVGO	-0.062725326	0.312452449
TXN	-0.132942922	0.41670107
DHR	0.118045086	0.495538162
GILD	-0.099198718	0.078806275
C	-0.284862789	0.578204041
LIN	-0.014728072	0.396964584
LMT	-0.16345888	0.52546623
QCOM	-0.075887906	0.60764117
MMM	-0.168991256	-0.042908051
SBUX	0.147360601	0.390852552
LOW	0.012167677	0.32234376
CHTR	-0.151773995	0.702214217
FIS	0.074710259	0.375501441
MO	-0.369414767	0.108369883
BA	0.115016548	0.033382314
SPGI	-0.00894477	0.626413286
INTU	0.25858389	0.341135006
CI	-0.064630499	0.076979503
ANTM	0.181099272	0.163347954
VRTX	0.10576542	0.321284097
NOW	0.365518862	0.585622029
CCI	0.017525107	0.354508888
PLD	-0.062484074	0.558656789
UPS	-0.154760134	0.242363646
ADP	0.142547881	0.32707715
D	-0.075912424	0.214980799
AGN	-0.168753625	0.458150288
AMD	0.795719747	1.484290546
ZTS	0.194473317	0.557089569
DUK	0.074145987	0.102869275
CAT	-0.175581055	0.195136149
CL	-0.191914386	0.185960582
BKNG	-0.008816017	0.192351417
FISV	0.120872352	0.57341135
AXP	-0.026201482	0.325173615
TJX	0.204538838	0.387566356
SO	-0.037519422	0.516528332
SYK	0.024349241	0.353287826
TGT	0.046705263	1.001727914
GS	-0.335252483	0.404789999
GE	-0.568352819	0.540895448
BIIB	-0.055403816	-0.013923973
ATVI	-0.260737795	0.286178259
HUM	0.162723345	0.289365403
BSX	0.425574771	0.279569921
CSX	0.144672245	0.180570334
APD	0.002606234	0.500174769
MU	-0.228356012	0.694925906
USB	-0.123606439	0.336222051
GPN	0.026316391	0.774529845
ECL	0.110709483	0.322648054
TFC	-0.102404503	0.345516889
KMB	-0.020592094	0.245746007
ITW	-0.221033837	0.456032732
ILMN	0.372740108	0.106058073
BAX	0.004969261	0.287229724
PGR	0.093942693	0.251350678
COP	0.156288604	0.066292654
AMAT	-0.349219983	0.898551509
NSC	0.052203809	0.323885035
SHW	-0.051754325	0.50080238
REGN	-0.006543225	0.005301234
EW	0.358974353	0.523078906
DE	-0.028958141	0.182954858
AON	0.099444128	0.446751491
AEP	0.053843556	0.305194867
SCHW	-0.182257161	0.16376934
MCO	-0.041031867	0.712600331
ADSK	0.226843447	0.426483209
EL	0.033758001	0.603441516
ADI	-0.016391382	0.413095001
GIS	-0.315701745	0.431281304
ROP	0.035149057	0.336632738
SRE	0.044886568	0.440062946
EXC	0.183284972	0.04275527
EA	-0.248905335	0.362438177
LRCX	-0.244008068	1.193334725
TMUS	0.001574602	0.232824977
DD	-0.236810309	-0.139091674
EMR	-0.118725288	0.315348974
ETN	-0.10043058	1.375409753
XEL	0.05879023	0.323712857
PSX	-0.122827951	0.339749847
ALL	-0.195201215	0.3882131
ROST	0.047809716	0.413388688
WBA	-0.036504471	-0.109920036
CTSH	-0.09424122	-0.010720335
EBAY	-0.256226848	0.30585696
BK	-0.108463514	0.095569265
ORLY	0.431487474	0.272790714
COF	-0.227661036	0.386167786
FDX	-0.366824992	-0.042989703
HCA	0.394686562	0.206521006
SYY	0.054826316	0.39640112
STZ	-0.287260079	0.198463209
MSCI	0.149094009	0.775575692
PSA	0.006219607	0.089626965
AFL	0.011292094	0.191827784
ES	0.06408529	0.344891335
VLO	-0.157307303	0.302679504
INFO	0.062458433	0.570773253
GM	-0.15056405	0.140183477
TROW	-0.097493526	0.356096436
ED	-0.066210965	0.225431845
VRSK	0.135833472	0.379175393
YUM	0.146064559	0.11414508
CLX	0.065535397	0.022301673
TRV	-0.096445357	0.170043684
APH	-0.068241182	0.349073508
PEG	0.046757876	0.170897719
MSI	0.296386088	0.421910892
IQV	0.186618954	0.330033551
AZO	0.178486628	0.42103445
KLAC	-0.124895088	1.039877366
PRU	-0.264623042	0.201045162
CMI	-0.271777311	0.391242156
ZBH	-0.133041297	0.453743815
IDXX	0.189538292	0.403773784
ALXN	-0.185885072	0.11082581
MNST	-0.222309998	0.291141766
SLB	-0.446589118	0.177286256
SNPS	-0.011731582	0.652421656
MAR	-0.190474326	0.414885999
CMG	0.493928002	0.938696977
ANSS	-0.03150616	0.800825524
HPQ	-0.002046663	0.038759259
RMD	0.363816345	0.378460119
JCI	-0.198496191	0.409060633
AVB	0.01000186	0.240969484
MCK	-0.302025988	0.270750763
AWK	0.013186197	0.377926509
TWTR	0.197001249	0.115170459
CDNS	0.039693926	0.595216214
EQR	0.070791188	0.261655889
ROK	-0.217880222	0.378485763
BLL	0.226480271	0.418326793
VRSN	0.295788102	0.29934589
PAYX	-0.01079092	0.345263386
STT	-0.379787876	0.306597744
CERN	-0.221842955	0.410155861
XLNX	0.288219104	0.163972226
MPC	-0.082333803	0.060500008
FAST	-0.016074981	0.45976163
HLT	-0.093994198	0.554805957
EIX	-0.066510529	0.37607923
