daytype	location
weekday	office
weekday	office
weekday	office
weekend	home
weekend	home
weekday	campus
weekday	home
weekday	appointment
weekday	office
weekday	office
weekend	home
weekend	home
weekday	office
weekday	home
weekday	office
weekday	office
weekday	campus
weekend	home
weekend	home
weekday	campus
weekday	office
weekday	office
weekday	office
weekday	office
weekend	home
weekend	home
weekday	home
weekday	home
weekday	office
weekday	home
weekday	office
weekend	home
weekend	home
weekday	office
weekday	office
weekday	office
weekday	office
weekday	office
weekend	home
weekend	home
weekday	campus
weekday	home
weekday	home
weekday	office
weekday	home
weekend	home
weekend	home
weekday	office
weekday	office
weekday	office
weekday	campus
weekday	home
weekend	home
weekend	home
weekday	office
weekday	office
weekday	office
weekday	campus
weekday	office
weekend	home
weekend	home
weekday	office
weekday	office
weekday	office
weekday	home
weekday	office
weekend	home
weekend	home
weekday	campus
weekday	home
weekday	campus
weekday	office
weekday	office
weekend	home
weekend	home
weekday	office
weekday	office
weekday	home
weekday	campus
weekday	campus
weekend	home
weekend	home
weekday	home
weekday	home
weekday	office
weekday	office
weekday	home
weekend	home
weekend	home
weekday	office
weekday	office
