"id"	"[,1]"	"[,2]"
"[1,]"	3.37095845	1.995379232
"[2,]"	1.43530183	2.760242168
"[3,]"	2.36312841	2.038990913
"[4,]"	2.6328626	2.735072142
"[5,]"	2.40426832	1.853527373
"[6,]"	1.89387548	1.942112665
"[7,]"	3.511522	2.482369466
"[8,]"	1.90534096	2.992943637
"[9,]"	4.01842371	0.753604502
"[10,]"	1.9372859	1.966512475
"[11,]"	3.30486965	1.929037819
"[12,]"	4.28664539	1.241079346
"[13,]"	0.6111393	0.965640639
"[14,]"	1.72121123	1.369268046
"[15,]"	1.86667866	2.58680772
"[16,]"	2.6359504	1.583677344
"[17,]"	1.71574708	1.21511219
"[18,]"	-0.65645542	2.163416319
"[19,]"	-0.44046693	0.763285765
"[20,]"	3.32011335	3.045873776
"[21,]"	1.69336141	1.515404584
"[22,]"	0.21869157	2.189128812
"[23,]"	1.82808264	2.051006332
"[24,]"	3.2146747	1.999759331
"[25,]"	3.89519346	3.809382042
"[26,]"	1.56953087	1.174672043
"[27,]"	1.74273062	3.145470452
"[28,]"	0.23683691	2.031573188
"[29,]"	2.46009735	1.164794195
"[30,]"	1.36000512	1.931236351
"[31,]"	2.45545012	2.746771687
"[32,]"	2.70483734	1.574481266
"[33,]"	3.03510352	1.227917765
"[34,]"	1.39107362	2.152764107
"[35,]"	2.50495512	2.988596845
"[36,]"	0.28299132	1.926541665
"[37,]"	1.21554099	0.612973446
"[38,]"	1.14909241	0.693324096
"[39,]"	-0.41420765	1.231604675
"[40,]"	2.03612261	1.472891875
"[41,]"	2.2059986	1.978572935
"[42,]"	1.6389427	2.670498071
"[43,]"	2.75816324	1.565382961
"[44,]"	1.27329517	0.886120217
"[45,]"	0.63171896	2.607105995
"[46,]"	2.43281803	2.275456969
"[47,]"	1.18860682	3.157347069
"[48,]"	3.44410126	0.317519141
"[49,]"	1.5685538	2.087319089
"[50,]"	2.65564788	3.353361894
"[51,]"	2.32192527	2.724173801
"[52,]"	1.21616106	1.167447174
"[53,]"	3.57572752	2.732528487
"[54,]"	2.64289931	1.12807313
"[55,]"	2.08976065	1.546602489
"[56,]"	2.27655075	3.187534279
"[57,]"	2.67928882	1.709854688
"[58,]"	2.08983289	2.828546145
"[59,]"	-0.99309008	1.708772291
"[60,]"	2.28488295	0.423637595
"[61,]"	1.63276536	1.151184303
"[62,]"	2.18523056	0.911480138
"[63,]"	2.58182373	1.515709429
"[64,]"	3.39973683	1.663688791
"[65,]"	1.27270794	1.846642109
"[66,]"	3.30254263	1.756752771
"[67,]"	2.33584812	3.892202042
"[68,]"	3.0385061	0.614001663
"[69,]"	2.92072857	1.585175699
"[70,]"	2.72087816	2.349081528
"[71,]"	0.95688106	3.628442266
"[72,]"	1.90981361	2.088521896
"[73,]"	2.62351816	3.239150708
"[74,]"	1.04647664	0.355444464
"[75,]"	1.45717119	3.446356525
"[76,]"	2.5809965	1.309439828
"[77,]"	2.76817874	1.723568915
"[78,]"	2.46376759	0.89058124
"[79,]"	1.1142237	2.133869316
"[80,]"	0.9002191	3.785339052
"[81,]"	3.51270701	4.422163355
"[82,]"	2.25792144	0.923171098
"[83,]"	2.08844023	2.48594111
"[84,]"	1.87910346	3.388521739
"[85,]"	0.8056711	1.804343183
"[86,]"	2.6119969	1.781825202
"[87,]"	1.78286015	1.695222045
"[88,]"	1.81724329	2.597832724
"[89,]"	2.93334633	3.397429411
"[90,]"	2.82177311	2.687619761
"[91,]"	3.39211638	2.320188014
"[92,]"	1.52382608	1.698130074
"[93,]"	2.65034856	2.498348686
"[94,]"	3.39111046	1.450463082
"[95,]"	0.88921112	1.720743496
"[96,]"	1.13920741	3.096513443
"[97,]"	0.86826132	2.442013088
"[98,]"	0.540786	2.241016294
"[99,]"	2.07998255	1.744392345
"[100,]"	2.65320434	2.931032901
"[101,]"	-3.79903462	3.334912585
"[102,]"	-3.95524891	1.130728236
"[103,]"	-6.00320865	2.055486955
"[104,]"	-3.1515181	2.049066913
