x_actual	y_actual
10	11.5
9	12.8
5	14.3
5	16.6
5	13
3	9.71
7	12.2
6	14.1
1	5.69
3	6.69
1	12.5
9	17.6
5	11.9
4	7.2
4	10.4
2	15.3
6	21.2
1	11.3
8	12.8
7	14.4
3	8.87
7	15.6
1	7.44
7	14.5
4	11.7
2	8.17
5	17
5	10.2
4	14.2
5	17.3
0	6.69
7	7.56
1	10.3
6	14.9
7	16.7
0	8.26
2	6.93
1	7.66
6	14.4
5	14
0	4.81
0	5.51
5	10.5
6	10.3
4	16.3
8	11.6
9	12.7
3	18.6
0	4.05
1	3.99
4	13.4
1	6.26
3	8.17
5	11.8
5	15.6
0	4.15
8	12.7
7	16.2
1	6.84
5	12.8
2	6.44
6	19.1
3	8.38
4	16.6
0	7.66
8	13.4
6	15.3
5	17.2
6	11
5	12.7
9	17.9
3	12.3
8	11
0	6.05
10	16.5
1	8.93
3	11.1
3	7.75
2	9.02
1	8.02
4	12.2
6	11.1
7	14.6
3	5.36
7	13.2
9	15.4
1	8.17
0	5.54
0	14.5
0	7.66
1	13.7
0	13.1
4	6.6
0	4.87
5	12.4
5	15.7
9	18
3	10.5
5	15.4
9	18.8
4	11.6
1	9.95
6	16.5
6	13.8
6	9.23
6	21.5
8	14.3
1	8.05
2	10.3
3	8.59
5	15.6
7	11.9
3	6.99
6	2.3
8	16.1
2	14
1	3.69
0	3.93
3	9.26
5	18
5	9.47
5	14.5
4	9.83
0	13.8
7	17.4
6	14.7
4	19
5	16.6
6	18.4
7	12.4
8	11.3
3	9.29
5	11.3
8	12
6	12.8
0	6.29
5	14.2
6	14.3
0	13.2
5	12.9
5	15.6
3	8.74
5	11.3
5	12.1
1	8.59
5	13.8
0	15.8
8	13.1
0	13.6
8	12
7	14.7
9	13.5
1	8.74
6	12.4
0	6.26
0	4.72
0	5.54
4	10.8
5	11.9
4	11.3
8	17.5
3	12
0	3.51
5	16.8
0	16.7
1	9.26
6	22.3
8	13.1
5	11.3
1	7.11
0	4.36
5	17.8
9	17.6
4	10.6
7	13.7
3	11
0	5.81
9	12.7
4	11.1
1	12.9
0	4.69
8	16.9
3	7.14
0	5.69
0	6.6
3	6.51
3	7.78
0	6.66
8	13.4
0	6.2
8	12.8
2	11.4
7	12.9
5	14.9
0	8.87
5	10.5
2	11.1
8	14.6
7	11.8
8	9.56
0	7.72
5	13.9
3	9.53
5	13.9
1	8.05
3	6.48
10	13.3
3	10.3
1	7.93
8	12.4
5	15.8
1	13.2
2	9.41
9	17.5
3	6.32
8	14.6
1	12
6	12.3
5	13.3
8	12.2
9	23.7
0	11.6
10	14.7
0	12.8
6	13.9
6	14.8
0	3.87
8	12.2
0	14.1
0	5.75
3	10.1
0	4.45
1	5.26
9	9.8
4	7.23
7	11.9
10	18.7
0	11.8
0	12.3
0	8.99
2	8.71
7	12.5
3	10.1
8	14.6
3	6.57
5	12.3
6	12.3
0	6.99
0	6.75
1	4.54
7	9.08
0	4.18
9	15.9
2	7.84
5	15.7
1	5.26
1	8.02
1	13.3
6	19.2
0	8.71
4	9.29
3	7.38
5	16
3	9.59
7	12.3
4	11.5
3	7.17
5	12.4
5	12.1
0	6.96
1	35.6
8	8.02
5	12.3
1	8.87
7	12.4
7	15
5	10.3
3	8.38
6	13.3
3	9.41
6	13.7
9	13.6
1	7.75
2	7.11
7	10.4
3	16.7
9	17
5	9.95
6	15.4
5	13.5
0	11.2
7	16.5
5	7.41
7	12.9
6	11.5
3	6.6
4	10.3
4	8.62
0	5.05
10	13.9
4	11.2
0	10.8
3	7.02
0	11.6
3	8.9
5	16.6
1	15.2
0	7.47
5	16
0	5.78
2	7.47
4	12.8
9	23.6
5	13
6	12.6
2	8.26
7	12.7
2	11.3
10	15.1
5	8.14
0	5.63
4	11.4
1	10
6	12.9
2	9.47
8	11.5
7	18.8
3	11.1
3	7.14
0	5.81
0	3.87
0	4.72
2	12
5	11.6
5	6.9
6	11
2	10.8
5	9.35
9	11
5	15.2
0	13
2	11.2
9	16.2
8	14.1
0	12.5
0	11.5
2	9.32
1	3.39
6	16.2
5	14.2
5	12.8
3	8.65
3	7.78
3	9.47
1	9.11
5	18.4
1	13.7
9	13.6
6	13.6
0	7.47
10	14.3
8	19.2
4	12.1
10	14.5
7	10
4	8.93
1	7.5
2	6.32
1	13
3	6.9
5	12.7
5	15.6
7	12.6
1	15.8
5	15
0	7.2
2	9.23
8	17.2
8	11.3
6	21.1
5	16.1
9	14.3
0	8.87
4	12.2
0	3.9
10	14.1
0	16.7
3	7.75
4	8.26
8	20.5
9	11.7
1	9.47
6	10.7
4	12.2
1	7.47
4	12.9
1	9.65
4	9.74
2	6.96
1	11.3
5	10.7
3	8.38
1	8.62
9	12
5	12.5
6	11.3
7	12.3
0	6.75
3	8.5
0	4.66
9	15.1
7	12.3
5	15.9
9	19.3
