x_actual	y_actual
-0.721	0
3.63	0
-0.428	0
-0.536	0
-0.673	0
-0.77	0
-0.797	0
1.15	0
1.7	0
-0.516	0
1.17	0
-0.286	0
-0.427	0
1.08	0
2.56	0
2.29	0
-0.558	0
1.42	0
-0.853	0
-0.749	0
-0.437	0
-0.322	0
0.823	0
-0.664	0
-0.848	0
-0.0373	0
1.34	0
-0.723	0
-0.442	0
1.34	0
-0.6	0
3.1	0
-0.631	0
-0.84	0
1.06	0
0.137	0
-0.558	0
-0.629	0
-0.454	0
1.89	0
-0.858	0
0.703	0
0.567	0
-0.645	0
-0.0464	0
-0.12	0
0.137	0
1.08	0
-0.496	0
-0.593	0
0.315	0
-0.71	0
-0.834	0
-0.586	0
1.76	0
0.931	0
-0.8	0
-0.562	0
1.61	0
0.63	0
1.01	0
-0.396	0
-0.649	0
0.37	0
-0.126	0
0.0757	0
-0.43	0
0.659	0
5.93	0
-0.0192	0
2.12	0
-0.814	0
-0.764	0
0.037	0
-0.547	0
-0.121	0
0.528	0
0.562	0
-0.58	0
-0.351	0
0.0254	0
0.619	0
-0.56	0
-0.719	0
-0.12	0
-0.719	0
-0.718	0
-0.437	0
-0.464	0
0.648	0
-0.787	0
-0.293	0
0.563	0
1.74	0
-0.507	0
-0.484	0
-0.797	0
0.39	0
-0.603	0
-0.806	0
-0.782	0
-0.412	0
-0.62	0
-0.713	0
-0.813	0
-0.436	0
-0.199	0
2.46	0
-0.668	0
0.408	0
-0.143	0
-0.42	0
-0.739	0
-0.299	0
0.811	0
-0.169	0
-0.422	0
1.65	0
-0.65	0
-0.563	0
-0.473	0
-0.401	0
2.16	0
0.533	0
-0.57	0
-0.651	0
-0.866	0
-0.56	0
-0.565	0
-0.715	0
-0.801	0
1.01	0
-0.789	0
-0.113	0
-0.82	0
-0.702	0
-0.744	0
-0.714	0
-0.818	0
0.0262	0
-0.222	0
-0.723	0
-0.563	0
-0.641	0
0.11	0
2.14	0
-0.535	0
-0.797	0
-0.84	0
1.6	0
-0.39	0
0.817	0
-0.263	0
-0.683	0
0.439	0
0.167	0
-0.807	0
-0.766	0
0.241	0
0.465	0
-0.754	0
-0.0728	0
-0.716	0
-0.699	0
0.792	0
0.424	0
0.689	0
-0.709	0
-0.28	0
-0.32	0
-0.53	0
0.217	0
-0.631	0
-0.706	0
-0.277	0
0.0898	0
-0.0266	0
0.85	0
-0.743	0
-0.83	0
-0.169	0
-0.673	0
-0.107	0
-0.305	0
2.67	0
-0.291	0
-0.865	0
-0.246	0
-0.763	0
-0.863	0
-0.32	0
1.74	0
-0.797	0
2.42	0
0.143	0
-0.597	0
-0.507	0
-0.621	0
-0.535	0
-0.735	0
-0.758	1
-0.536	1
1.53	1
-0.742	1
0.159	1
-0.305	1
0.578	1
-0.485	1
-0.714	1
2.47	1
-0.733	1
-0.777	1
0.43	1
-0.56	1
0.634	1
-0.22	1
0.601	1
-0.871	1
-0.0794	1
2.2	1
2.48	1
1.62	1
-0.0621	1
-0.678	1
-0.133	1
-0.435	1
1.71	1
-0.73	1
-0.195	1
-0.836	1
-0.366	1
1.37	1
-0.0753	1
-0.782	1
0.569	1
0.54	1
0.604	1
-0.277	1
1.53	1
-0.477	1
-0.154	1
1.03	1
1.65	1
0.165	1
0.817	1
-0.564	1
1.66	1
-0.758	1
1.74	1
0.431	1
4.19	1
-0.794	1
-0.807	1
2.2	1
0.426	1
-0.558	1
-0.725	1
-0.57	1
-0.697	1
-0.748	1
-0.269	1
0.512	1
-0.396	1
0.632	1
1.38	1
0.633	1
4.51	1
-0.743	1
-0.496	1
1.21	1
-0.738	1
1.39	1
-0.808	1
-0.157	1
-0.695	1
-0.623	1
-0.0134	1
0.678	1
-0.39	1
-0.0439	1
0.195	1
0.586	1
1.75	1
0.577	1
0.615	1
-0.386	1
-0.41	1
0.327	1
0.583	1
-0.319	1
0.0386	1
1.99	1
-0.647	1
0.177	1
-0.154	1
-0.36	1
-0.603	1
3.8	1
2.29	1
0.569	1
-0.247	1
1.19	1
2.18	1
2.22	1
-0.154	1
-0.664	1
-0.736	1
0.709	1
-0.862	1
1.11	1
0.321	1
-0.471	1
-0.697	1
0.518	1
-0.0258	1
0.487	1
0.955	1
0.508	1
2.23	1
-0.145	1
1.08	1
-0.822	1
1.74	1
-0.412	1
-0.747	1
0.107	1
0.159	1
0.189	1
0.115	1
-0.523	1
-0.62	1
-0.408	1
5.03	1
5.32	1
0.00725	1
2.51	1
-0.57	1
-0.564	1
0.385	1
0.228	1
0.816	1
0.607	1
-0.812	1
0.244	1
-0.187	1
-0.124	1
-0.707	1
-0.333	1
0.546	1
-0.0662	1
1.46	1
-0.686	1
-0.444	1
-0.407	1
0.0832	1
3.02	1
0.434	1
-0.321	1
0.659	1
-0.268	1
-0.673	1
-0.426	1
-0.795	1
-0.732	1
0.165	1
-0.517	1
0.174	1
-0.668	1
-0.695	1
0.321	1
1.05	1
5.07	1
-0.834	1
-0.871	1
0.204	1
-0.424	1
-0.742	1
-0.45	1
0.47	1
-0.0893	1
-0.554	1
-0.121	1
-0.466	1
-0.318	1
0.492	1
-0.034	1
-0.865	1
0.084	1
-0.777	1
2.96	1
1.93	1
0.388	1
-0.797	1
-0.131	1
-0.371	1
0.879	1
-0.869	1
0.685	1
1.43	1
1.35	1
